Name,CategoryName,Contact Number,City,Address,Website
Faiz Medical Centre Taulka Hospital Road Thul,Hospital,+92 333 2951754,Thul,"2 Jacobabad-Suhbatpur Rd, Haji Abdul Sami Khoso Colony Thul, 0722, ",N/A
Taluka Hospital Sijawal,Hospital,N/A,Sijawal Junejo,"R4R3+QC9, Sijawal Junejo, ",N/A
Hospital,Hospital,+92 318 3559484,Gahi Rahoo,"Gt, link road, nearby karam khan nizamani, Gahi Rahoo, 75757, ",N/A
Hindyari Civil Hospital,Hospital,N/A,Hindyari,"3HWQ+CR5, Hindyari, ",N/A
Civil Hospital Chak,Hospital,N/A,Chak,"VR5M+8Q9, Chak, ",N/A
Taluka Headquarters Hospital Kandiaro,Hospital,N/A,Kandiāro,"Kandiāro, ",N/A
Heart Hospital,Hospital,N/A,Larkana,"H645+3WF, Larkana, ",N/A
Khanpur hospital government (pphi),Hospital,N/A,N/A,"Sindh, Indus Hwy, ",N/A
PPHI Hospital Allahyarani,Hospital,+92 316 7029420,Dādu,"QP23+2CH, Dādu, ",N/A
Surab General hospital,Hospital,+92 331 8326010,Surab,"F7J8+3GG, Nighar Rd, Surab, ",N/A
Baqapur Hospital,Hospital,N/A,Baqapur,"G6CC+P4J، Bakapur Road, Baqapur, ",N/A
Alshafa medical store civil hospital jacobabad,Medical Center,+92 331 3111395,Jacobabad,"Civil road, Jacobabad, 79000, ",N/A
Vitonery Hospital,Hospital,N/A,Goth Kolachi,"4QR8+MWM, Goth Kolachi, ",N/A
Gulalai Hospital,Hospital,+92 336 3838054,Usta Muhammad,"52JX+XX4, Saleem Colony Usta Muhammad, ",N/A
Anwer Piracha Hospital,Hospital,+92 71 9310775,Sukkur,"PR4X+J7W, Makha Goth, Sukkur, ",N/A
Waseem Hospital,Hospital,N/A,Pacca Chang,"V987+M7J, Hospital Rd, Pacca Chang, ",N/A
DHQ Hospital,,+92 300 3420271,Larkana,"B-3, Near Jinnah Park, Press Club, Jail Rd, Doctors Colony, Railway Colony, Larkana, 77150, ",N/A
Shams Heart Hospital,Heart hospital,N/A,Shikarpur,"XJ3H+XFC, Circular Rd, Shikarpur, ",N/A
Aga Khan University Hospital Medical Center Jaccobabad,Diagnostic center,+92 722 655014,Jacobabad,"Old Palace Hotel, Quaid-e-Azam Road, Ward No. 5 Jacobabad, 79000, ",hospitals.aku.edu/pakistan
Government Hospital Kolachi PPHI,Hospital,N/A,Goth Kolachi,"4QR8+CQQ, Goth Kolachi, ",N/A
Dr Illahi Bux Hospital,Hospital,N/A,Mehar,"5RFG+G9M, Madina Colony Mehar, ",N/A
Taluka Hospital Mehar,Hospital,N/A,Mehar,"5RMF+5R7, Mehar،, Rampur Mehar, ",N/A
Polio hospital,Hospital,N/A,Larkana,"G6WC+Q5G, Larkana, ",N/A
Govenment Hospital Kumb,Hospital,N/A,Kumb,"8J26+6RQ, Kumb, ",N/A
THQ Hospital Karkh,Hospital,+92 336 8485838,Karkh,"P5QG+WQP, Karkh, ",N/A
Labour Hospital,Government hospital,N/A,Khuzdar,"RHGM+VV4, New Twp Scheme Khuzdar, Khuzdar, ",N/A
Gher Gaju Hospital,Hospital,N/A,Kalhora Station,"R6C7+XJV, Village Gher Gaju, P/o, Kalhora Station, ",N/A
Government Hospital Sardar Shahid Khan Sehol,Car factory,N/A,Nawaab Jo Phaat,"6WRQ+HPQ, Nawaab Jo Phaat, ",N/A
Hospital,Children's hospital,N/A,N/A,"PMHJ+CJH, Dadu (NH 55) - Johi Link Rd, ",N/A
Panwari Hospital,Hospital,N/A,Kaman Mahessar,"35R7+837, Kaman Mahessar, ",N/A
Al Qadir Hospital 24 Hours service,Hospital,N/A,Mehar,"5RH9+GMV Dr. Abdul Haq Abbasi, Mehar, ",N/A
Govt Vaterenary Hospital,Veterans hospital,N/A,Dera Allah Yar,"99G2+4J5, Dera Allah Yar, ",N/A
Dr.Akram hospital,Hospital,+92 302 3631035,Khahi,"RRW5+CCP, Hothi - Khahi Rd, Khahi, ",N/A
Government Hospital and Government School Saidudero,Hospital,N/A,N/A,"M83F+66M, Canal Rd, ",N/A
HOSPITAL SOBHO KHAN MAGSI,Hospital,N/A,Mehar,"4XGH+77Q, Mehar, ",N/A
Al Quresh Charity Hospital,Hospital,N/A,Kandiāro,"3658+F2F, Kandiāro, ",N/A
DR Aijaz Mallah hospital,Hospital,N/A,Sita Road,"2RPX+P9X, Sita Road, ",N/A
Raji medical & hospital (WSS),Hospital department,N/A,Thul,"6QR9+RGW, Thul, ",N/A
Shaikh Zayed Hospital For Women ,Hospital,N/A,Larkana,"H663+WJC, Larkana, ",N/A
Maternity Hospital Shahddkot,Maternity hospital,N/A,Shahdādkot,"RWX4+QQR, Shahdādkot, ",N/A
Noor Eye Hospital Ranipur,Hospital,+92 300 3115487,Ranipur,"7GQ6+CFM, Ranipur, ",N/A
Gulzar Hospital,,N/A,Sukkur,"Barrage Colony, Sukkur, ",N/A
Mother and Child Health Care Hospital Bhiria Road,Hospital,N/A,Bhiria Road,"V7MJ+JWW, Pacca Chang Rd, Bhiria Road, ",N/A
Dr Murli Lal Hospital,Hospital,N/A,Sohbatpur,"GG7Q+85M, Sohbatpur, ",N/A
Vetnary Hospital Chak,Hospital,+92 316 3493715,Chak,"VR5M+7RW, Chak, ",N/A
Gambtat hospital,Hospital,N/A,Gambat,"9G4G+3F2, Gambat Bypass Rd, Gambat, ",N/A
Agro Hospital,Hospital,N/A,Mohabat Dero,"5629+758, Unnamed Road, Mohabat Dero, ",N/A
"Alaabad colony, covil hospital khairpir mirs",Housing society,N/A,Khairpur,"GP7Q+V85, Civil Hospital Rd, Alaabad colony Khairpur, ",N/A
Eyes Hospital,Hospital,N/A,Sohbatpur,"GG7Q+JGC, Road, Sohbatpur, ",N/A
Manohar Eye Hospital,Hospital,N/A,Jacobabad,"7CJM+4HM, Jacobabad, ",N/A
Children Hospital Road,Construction company,+92 336 3329343,Sukkur,"PR3J+4Q8 Children Hospital, Sukkur, ",N/A
Qazi Daro Veternity Hospital,Hospital,N/A,Bux Lakhiar,"52QP+QVM Qazi, Bux Lakhiar, ",N/A
"Hospital based blood bank, Civil Hospital Naushahro Feroze",Blood bank,+92 300 3110975,Naushahro Feroze,"R4PC+VX5, Pir Mohala Naushahro Feroze, ",fatimid.org/
"Civil Hospital Colony, DMJ",Lodge,N/A,Dera Murad Jamali,"G6R6+Q5P, Civil Hospital Rd, Dera Murad Jamali, ",N/A
Railway Hospital Dadu ,Hospital,N/A,Dādu,"PQHF+6MF, Railway Station Rd, Dādu, ",N/A
Al Shafa Hospital,Hospital,+92 333 2961065,Khuzdar,"RJ56+HQW, Khuzdar, ",N/A
PPHI Eye Hospital Khairpur,Hospital,+92 308 7162319,Khairpur,"2nd Floor, Red Cresent Medical Complex, near Old NADRA Office, Khairpur, ",N/A
Animal Hospital,Hospital,N/A,N/A,"Umeed ali Junejo, Shahdadkot Rd, ",N/A
Civil Hospital Laboratory,Medical laboratory,N/A,Larkana,"H636+J8G, Larkana, ",N/A
Shahani child and maternity care hospital khairpur mirs,Children's hospital,+92 301 9401924,Khairpur,"GPFV+W27 Butta colony, Mehran University Rd, near Attock petrol Pump, Nizamani Mohla, Khairpur, ",N/A
Metero eye care hospital,Hospital,N/A,Sukkur,"MVMR+RGC, Shalimar road, Sukkur, ",N/A
"MS Office Chandka Hospital, Larkana",Public health department,N/A,Larkana,"H635+6CP, Larkana, ",N/A
Dr Akbar Hospital,Hospital,+92 301 3214544,Tando Mir Ali,"3FPW+GHP, Tando Mir Ali, ",N/A
Dr Ali Akbar Khan Siyal Hospital Faridabad,Local medical services,+92 345 3478878,Faridabad,"F66H+XX9, near Bahadur Khan Siyal High School, Faridabad, 34200, ",N/A
BHU Hospital Manjhipur,Hospital department,N/A,Manjhi Pur,"CMH9+MHM, Manjhi Pur, ",N/A
Al-Ibrahim Eye Hospital Kandiaro,Hospital,N/A,Kandiāro,"3655+8P7, Kandiāro, ",N/A
Noble Hospital,Hospital,+92 308 2344448,Lahore,"G8F9+66H, Sultan Ahmed Rd, Rehmanpura Colony, Lahore, 54000, ",N/A
Punjab Rangers Teaching Hospital,Hospital,+92 42 36637003,Lahore,"Alamdar Rd, Jorry pull Cantt, Lahore, ",N/A
Nawaz Memorial Hospital,Hospital,+92 302 7500096,Kasur,"Milad Gate, Shahbaz Khan Rd, Tariq Colony Kasur, 55050, ",N/A
Sami Hospital,Hospital,N/A,Lahore,"68, Block H Gulberg 2, Lahore, ",N/A
Model Town Trust Hospital,Hospital,+92 42 35915336,Lahore,"Plot 32 E, Block E Model Town, Lahore, ",N/A
Allied Surgimed Hospital,Hospital,+92 42 35448288,Lahore,"C7W6+7RX, Airline Society, Lahore, ",N/A
Tehsil Headquarters Hospital Ferozewala,Hospital,+92 42 37304595,Ferozewala,"M75M+FQM, Phase 1 Al Rehman Garden, Ferozewala, ",N/A
ICU Mardan Medical Complex,Hospital department,+92 937 9230051,Mardan,"523J+JCW, Road, Sheikh Maltoon Town, Mardan, 23200, ",mmckp.gov.pk/
Shifa General Hospital,Hospital,N/A,Peshawar,"6B Park Rd, University Town, Peshawar, 25000, ",N/A
Prof dr. Sabir Khan,Children's hospital,+92 333 4515276,Peshawar,"Clinic . room A-15 Al shafa Health Care Center، Dagari Bazzar، near Shah Qabool Police Station, Qissa Khawani, Peshawar, 25000, ",N/A
Hilal Medical Store,Pharmacy,+92 301 8578098,Khar,"Rashid Market, near DHQ Hospital, Khar, ",N/A
Karwan super store,General store,+92 345 9345581,Mardan,"52XR+F53, Hospital road, Mardan, 23200, ",www.havenhomes.co.uk/
Hospital Appliances khokhar road shaheen town,Warehouse,N/A,Rawalpindi,"Shaheen Town, Rawalpindi, ",N/A
Rehman Medical Center,Hospital,+92 348 4467558,Khairabad,"X83J+2CX, Khairabad, ",madical.com/
THQ Hospital Pindi Bhattian,Hospital,+92 547 531942,Pindi Bhattian,"V7WH+F7W، Lahore Rd, Sukhe-ke Mandi Rd, Pindi Bhattian, 52110, ",N/A
Amina Jabbar Hospital (Waqaf),Hospital,+92 42 36676915,Lahore,"G9XQ+W54, Zarrar Shaheed Rd, Old Officers Colony, Lahore, ",N/A
Al Rahmat Hospital,Hospital,+92 301 1690179,Sahiwal,"M428+V5Q Umer Block, 6 Multan Rd, Sahadab Colony Shadab Town, Sahiwal, 57000, ",alrehmathospital.com/
Langriyal Surgimed Hospital Sahiwal,Hospital,+92 301 6931226,Sahiwal,"Fateh Sher Colony, Sahiwal, 57000, ",N/A
Yousaf Siddiqui Hospital,Specialized hospital,+92 321 4433116,Sheikhupura,"Gujranwala Rd, Rehmat Colony, Sheikhupura, 39350, ",N/A
Naseem Yousaf Hospital,Hospital,+92 322 6264258,Faisalabad,"W Canal Rd, near Gatwala Underpass, Civic Center Faisalabad, ",N/A
Pakistan Homeopathic Medical College & Hospital,College,+92 301 8743300,Lahore,"Street No. 18, near bibi pak daman, Muhammad Nagar Garhi Shahu, Lahore, 54000, ",phmcpak.edu.pk/
Madina Town Gynae and General hospital,Hospital,+92 41 6076392,Faisalabad,"C4CC+69W, Green Belt Rd, Block Z Madina Town, Faisalabad, ",N/A
MMC General Hospital,General hospital,+92 91 111 000 662,Peshawar,"2JM2+82C Shinwari Town, Peshawar Ring Rd., Pakha Ghulam, Peshawar, ",www.mmcgh.pk/
"Upper Swat General Hospital, Khwaza Khela Swat",Hospital,+92 304 5744456,Khwazakhela,"Mingora, N-95, Khwazakhela, 19110, ",N/A
"Med Care Gen Hospital, Peshawar",Private hospital,+92 335 0004141,Peshawar,"XFVG+F8M, Canal Rd, Danish Abad Rahat Abad, Peshawar, ",www.mcgh.com.pk/
Fauji Foundation Hospital Peshawar,Hospital,+92 91 9212772,Peshawar,"1 Hussain Abbas Shaheed Rd, Peshawar Cantonment, Peshawar, 25000, ",N/A
Batkhela International Hospital,Hospital,+92 341 9264309,Batkhela,"Canal Rd, opposite Bin Ahmad mega mart bypass Bridge, Batkhela, ",N/A
Allied Specialist Hospital Topi,Hospital,+92 314 9522011,Topi,"3JM7+37P, Topi, ",N/A
Naseerullah Khan Babar Memorial Hospital,Government hospital,+92 334 9077890,Peshawar,"Kohat Rd, Akbar Colony, Peshawar, ",www.healthkp.gov.pk/
Roshan Specialized Hospital & Research Center,Hospital,+92 946 714091,Saidu Sharif,"Saidu Sharif Rd, Swat Saidu Sharif, 19130, ",rsh.com.pk/
Al Elaj Hospital,Hospital,+92 51 4531904,Wah Cantt,"Basti, B-93 Main Shahwali Road, near CB Family Park, Wah Cantt, ",www.facebook.com/Pakwmpk/
Shaukat Khanum Memorial Cancer Hospital,Hospital,+92 91 5885000,Peshawar,"Shaukat Khanum Memorial Cancer Hospital and Research Centre 5-B, Sector A-2 Phase 5 Hayatabad, Peshawar, ",shaukatkhanum.org.pk/
PAF Hospital Peshawar Cantt,Hospital,+92 91 9213131,Peshawar,"XGVC+6WR, Khyber Rd, Peshawar Cantonment, Peshawar, ",N/A
Nowshera Combined Military Hospital,Military hospital,+92 923 610958,Nowshera,"2X3V+C6H, Service Rd, Nowshera Cantonment Nowshera, ",N/A
Hospital,Hospital,N/A,Dak Ismail Khel,"Hospital Koroona Dak Ismail Khel, ",N/A
Social Security Medi Care Hospital,Government hospital,+92 91 2322040,Peshawar,"XHJ5+PJP, Akbar Colony, Peshawar, ",N/A
Abeer Saeed Memorial Hospital,Private hospital,+92 945 761511,Chakdara,"Main GT Road, Chakdara, 18800, ",www.asmh.com.pk/
Medicare Hospital Attock(Aslam marwat),Hospital,+92 330 5326122,Attock,"Q9W5+MP8 Medicare hospital (Aslam marwat, Kamra Rd, Attock, 43600, ",N/A
Azhar Mehboob Memorial Hospital,Hospital,+92 341 4975553,Bhakkar,"Near superior college, Darya Khan Rd, Bhakkar, ",N/A
DHQ Hospital Layyah,Hospital,+92 308 7501408,Layyah,"XXC4+GP2, A-6 Doctors' Colony, Layyah, ",N/A
Qadir Ali Hospital,General hospital,+92 606 410096,Layyah,"XXC7+66R, Main Kutchehry Road, Layyah, 31200, ",www.qadiralihospital.com/
Rehmania Hospital,Private hospital,+92 966 730398,Dera Ismail Khan,"Rehmania Hospital, South Circular Road, Dera Ismail Khan, ",N/A
Musa Memorial Hospital,Private hospital,+92 453 510319,Bhakkar,"daewo terminal street bhakkar, Bhakkar, ",N/A
National Hospital Bhakkar,Hospital,+92 453 511008,Bhakkar,"Near, DHQ Bhakkar - Khansar Rd, Bhakkar, ",N/A
Safdar Hospital,Hospital,+92 344 7731290,Bhakkar,"Bhakkar, ",N/A
"DHQ Hospital, Bhakkar",Government hospital,+92 453 9200197,Bhakkar,"J3HQ+FJ7, Khansar Rd, Bhakkar, ",N/A
